month;emae
ago-17;0.0400850
sep-17;0.0331220
oct-17;0.0601870
nov-17;0.0511600
dic-17;0.0246890
ene-18;0.0432640
feb-18;0.0491860
mar-18;0.0230750
abr-18;-0.0041610
may-18;-0.0495480
jun-18;-0.0632680
jul-18;-0.0267680
ago-18;-0.0162360
sep-18;-0.0600300
oct-18;-0.0406390
nov-18;-0.0732390
dic-18;-0.0711760
ene-19;-0.0567140
feb-19;-0.0469690
mar-19;-0.0719820
abr-19;-0.0116240
may-19;0.0229430
jun-19;-0.0011040
jul-19;0.0028060
ago-19;-0.0369090
sep-19;-0.0204760
oct-19;-0.0091040
nov-19;-0.0215800
dic-19;-0.0019020
ene-20;-0.0176780
feb-20;-0.0222080
mar-20;-0.1108810
abr-20;-0.2536860
may-20;-0.1995750
jun-20;-0.1157850
jul-20;-0.1271020
ago-20;-0.1140140
sep-20;-0.0588080
oct-20;-0.0708110
nov-20;-0.0337720
dic-20;-0.0223710
ene-21;-0.0193230
feb-21;-0.0209970
mar-21;0.1144580
